"Positie houder";"Naam van de emittent";"ISIN";"Netto Shortpositie";"Positiedatum"
"Marshall Wace LLP";"USG People N.V.";"NL0000354488";"0.90";"2013-12-12 00:00:00"
"AKO Capital LLP";"TomTom N.V.";"NL0000387058";"2.52";"2013-12-11 00:00:00"
"Marshall Wace LLP";"Royal Imtech N.V.";"NL0006055329";"2.90";"2013-12-11 00:00:00"
"AKO Capital LLP";"TomTom N.V.";"NL0000387058";"2.46";"2013-12-10 00:00:00"
"Susquehanna International Holdings LLC";"Corbion N.V.";"NL0010583399";"1.33";"2013-12-10 00:00:00"
"Marshall Wace LLP";"Royal Imtech N.V.";"NL0006055329";"2.81";"2013-12-09 00:00:00"
"Marshall Wace LLP";"USG People N.V.";"NL0000354488";"0.80";"2013-12-09 00:00:00"
"Adage Capital Management L.P.";"Aperam S.A.";"LU0569974404";"3.03";"2013-12-06 00:00:00"
"AKO Capital LLP";"TomTom N.V.";"NL0000387058";"2.33";"2013-12-06 00:00:00"
"AQR Capital Management, LLC";"Royal Imtech N.V.";"NL0006055329";"0.34";"2013-12-05 00:00:00"
"Marshall Wace LLP";"Royal Imtech N.V.";"NL0006055329";"2.76";"2013-12-05 00:00:00"
"Marshall Wace LLP";"Royal Imtech N.V.";"NL0006055329";"2.88";"2013-12-04 00:00:00"
"Oxford Asset Management";"Royal Imtech N.V.";"NL0006055329";"0.92";"2013-12-04 00:00:00"
"Wellington Management Company LLP";"Eurocommercial Properties N.V.";"NL0000288876";"0.80";"2013-12-04 00:00:00"
"AQR Capital Management, LLC";"Royal Imtech N.V.";"NL0006055329";"0.57";"2013-12-03 00:00:00"
"Wellington Management Company LLP";"Eurocommercial Properties N.V.";"NL0000288876";"0.79";"2013-12-03 00:00:00"
"GLG Partners LP";"Wolters Kluwer N.V.";"NL0000395903";"0.50";"2013-12-02 00:00:00"
"BlackRock Institutional Trust Company, National Association";"Wereldhave N.V.";"NL0000289213";"0.79";"2013-11-29 00:00:00"
"BlackRock Investment Management (UK) Limited";"Fugro N.V.";"NL0000352565";"0.46";"2013-11-29 00:00:00"
"Marshall Wace LLP";"USG People N.V.";"NL0000354488";"0.72";"2013-11-29 00:00:00"
"Oxford Asset Management";"Royal Imtech N.V.";"NL0006055329";"0.89";"2013-11-29 00:00:00"
"Lansdowne Partners Limited";"Royal Imtech N.V.";"NL0006055329";"0.90";"2013-11-28 00:00:00"
"Susquehanna International Holdings LLC";"Corbion N.V.";"NL0010583399";"1.48";"2013-11-28 00:00:00"
"Marshall Wace LLP";"Royal Imtech N.V.";"NL0006055329";"2.96";"2013-11-27 00:00:00"
"Susquehanna International Holdings LLC";"Corbion N.V.";"NL0010583399";"1.39";"2013-11-27 00:00:00"
"TT International";"Royal Imtech N.V.";"NL0006055329";"0.74";"2013-11-27 00:00:00"
"Oxford Asset Management";"Royal Imtech N.V.";"NL0006055329";"0.90";"2013-11-26 00:00:00"
"Susquehanna International Holdings LLC";"Corbion N.V.";"NL0010583399";"1.48";"2013-11-26 00:00:00"
"TT International";"Royal Imtech N.V.";"NL0006055329";"0.50";"2013-11-26 00:00:00"
"Marshall Wace LLP";"USG People N.V.";"NL0000354488";"0.68";"2013-11-25 00:00:00"
"Marshall Wace LLP";"Royal Imtech N.V.";"NL0006055329";"3.01";"2013-11-22 00:00:00"
"Susquehanna International Holdings LLC";"Corbion N.V.";"NL0010583399";"1.59";"2013-11-22 00:00:00"
"Marshall Wace LLP";"USG People N.V.";"NL0000354488";"0.70";"2013-11-21 00:00:00"
"GLG Partners LP";"Royal Imtech N.V.";"NL0006055329";"0.97";"2013-11-20 00:00:00"
"Marshall Wace LLP";"Royal Imtech N.V.";"NL0006055329";"2.98";"2013-11-20 00:00:00"
"Adage Capital Management L.P.";"Aperam S.A.";"LU0569974404";"2.83";"2013-11-19 00:00:00"
"Marshall Wace LLP";"USG People N.V.";"NL0000354488";"0.62";"2013-11-19 00:00:00"
"Susquehanna International Holdings LLC";"Corbion N.V.";"NL0010583399";"1.67";"2013-11-19 00:00:00"
"Marshall Wace LLP";"Royal Imtech N.V.";"NL0006055329";"3.00";"2013-11-18 00:00:00"
"AQR Capital Management, LLC";"Fugro N.V.";"NL0000352565";"1.40";"2013-11-15 00:00:00"
"Marshall Wace LLP";"Royal Imtech N.V.";"NL0006055329";"2.88";"2013-11-15 00:00:00"
"Marshall Wace LLP";"USG People N.V.";"NL0000354488";"0.55";"2013-11-15 00:00:00"
"AQR Capital Management, LLC";"Royal Imtech N.V.";"NL0006055329";"0.68";"2013-11-14 00:00:00"
"BlackRock Institutional Trust Company, National Association";"USG People N.V.";"NL0000354488";"0.50";"2013-11-14 00:00:00"
"BlackRock Investment Management (UK) Limited";"Heijmans N.V.";"NL0009269109";"0.70";"2013-11-14 00:00:00"
"Marshall Wace LLP";"Royal Imtech N.V.";"NL0006055329";"2.75";"2013-11-14 00:00:00"
"Susquehanna International Holdings LLC";"Corbion N.V.";"NL0010583399";"1.88";"2013-11-14 00:00:00"
"Marshall Wace LLP";"Royal Imtech N.V.";"NL0006055329";"2.58";"2013-11-13 00:00:00"
"Oxford Asset Management";"Royal Imtech N.V.";"NL0006055329";"0.81";"2013-11-13 00:00:00"
"Citadel Europe LLP";"Fugro N.V.";"NL0000352565";"0.70";"2013-11-12 00:00:00"
"Marshall Wace LLP";"Royal Imtech N.V.";"NL0006055329";"2.35";"2013-11-12 00:00:00"
"Millennium International Management LP";"Core Laboratories N.V.";"NL0000200384";"0.93";"2013-11-12 00:00:00"
"Millennium International Management LP";"Core Laboratories N.V.";"NL0000200384";"0.82";"2013-11-11 00:00:00"
"Oxford Asset Management";"Royal Imtech N.V.";"NL0006055329";"0.76";"2013-11-11 00:00:00"
"BlackRock Investment Management (UK) Limited";"Fugro N.V.";"NL0000352565";"0.51";"2013-11-08 00:00:00"
"Citadel Europe LLP";"Fugro N.V.";"NL0000352565";"0.63";"2013-11-08 00:00:00"
"GLG Partners LP";"Royal Imtech N.V.";"NL0006055329";"1.15";"2013-11-08 00:00:00"
"Marshall Wace LLP";"Royal Imtech N.V.";"NL0006055329";"2.08";"2013-11-08 00:00:00"
"Millennium International Management LP";"Core Laboratories N.V.";"NL0000200384";"0.94";"2013-11-08 00:00:00"
"Lansdowne Partners Limited";"Royal Imtech N.V.";"NL0006055329";"0.76";"2013-11-07 00:00:00"
"Marshall Wace LLP";"Royal Imtech N.V.";"NL0006055329";"2.32";"2013-11-07 00:00:00"
"AQR Capital Management, LLC";"PostNL N.V.";"NL0009739416";"0.44";"2013-11-06 00:00:00"
"AQR Capital Management, LLC";"Royal Imtech N.V.";"NL0006055329";"0.77";"2013-11-06 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"Royal Imtech N.V.";"NL0006055329";"0.51";"2013-11-06 00:00:00"
"Lucerne Capital Management, L.P.";"Heijmans N.V.";"NL0009269109";"0.00";"2013-11-06 00:00:00"
"Marshall Wace LLP";"Fugro N.V.";"NL0000352565";"0.49";"2013-11-06 00:00:00"
"Marshall Wace LLP";"Royal Imtech N.V.";"NL0006055329";"1.80";"2013-11-06 00:00:00"
"AQR Capital Management, LLC";"Royal Imtech N.V.";"NL0006055329";"0.87";"2013-11-05 00:00:00"
"BlackRock Advisors (UK) Limited";"Heijmans N.V.";"NL0009269109";"0.61";"2013-11-04 00:00:00"
"Marshall Wace LLP";"Fugro N.V.";"NL0000352565";"0.57";"2013-11-04 00:00:00"
"Marshall Wace LLP";"Royal Imtech N.V.";"NL0006055329";"1.74";"2013-11-04 00:00:00"
"AQR Capital Management, LLC";"Royal Imtech N.V.";"NL0006055329";"0.94";"2013-11-03 00:00:00"
"Adage Capital Management L.P.";"Aperam S.A.";"LU0569974404";"2.79";"2013-11-01 00:00:00"
"Carlson Capital UK LLP";"NSI N.V.";"NL0000292324";"0.41";"2013-10-31 00:00:00"
"Marshall Wace LLP";"Fugro N.V.";"NL0000352565";"0.66";"2013-10-31 00:00:00"
"Millennium International Management LP";"Core Laboratories N.V.";"NL0000200384";"1.06";"2013-10-31 00:00:00"
"Scopia Capital Management LP";"Koninklijke Vopak N.V.";"NL0009432491";"0.60";"2013-10-31 00:00:00"
"Carlson Capital UK LLP";"NSI N.V.";"NL0000292324";"0.50";"2013-10-30 00:00:00"
"Marshall Wace LLP";"Royal Imtech N.V.";"NL0006055329";"1.94";"2013-10-30 00:00:00"
"BlackRock Institutional Trust Company, National Association";"Wereldhave N.V.";"NL0000289213";"0.88";"2013-10-29 00:00:00"
"Citadel Europe LLP";"Fugro N.V.";"NL0000352565";"0.50";"2013-10-29 00:00:00"
"Marshall Wace LLP";"Fugro N.V.";"NL0000352565";"0.79";"2013-10-29 00:00:00"
"Marshall Wace LLP";"Koninklijke BAM Groep N.V.";"NL0000337319";"0.49";"2013-10-29 00:00:00"
"Marshall Wace LLP";"Royal Imtech N.V.";"NL0006055329";"2.04";"2013-10-29 00:00:00"
"Millennium International Management LP";"Core Laboratories N.V.";"NL0000200384";"0.98";"2013-10-29 00:00:00"
"AKO Capital LLP";"TomTom N.V.";"NL0000387058";"2.22";"2013-10-28 00:00:00"
"BlackRock Investment Management (UK) Limited";"Heijmans N.V.";"NL0009269109";"0.60";"2013-10-28 00:00:00"
"Marshall Wace LLP";"Fugro N.V.";"NL0000352565";"0.80";"2013-10-28 00:00:00"
"Marshall Wace LLP";"Royal Imtech N.V.";"NL0006055329";"2.13";"2013-10-28 00:00:00"
"AKO Capital LLP";"Fugro N.V.";"NL0000352565";"2.43";"2013-10-25 00:00:00"
"AKO Capital LLP";"TomTom N.V.";"NL0000387058";"2.47";"2013-10-25 00:00:00"
"Marshall Wace LLP";"Fugro N.V.";"NL0000352565";"0.79";"2013-10-25 00:00:00"
"Marshall Wace LLP";"Royal Imtech N.V.";"NL0006055329";"2.28";"2013-10-25 00:00:00"
"Scopia Capital Management LP";"Koninklijke Vopak N.V.";"NL0009432491";"0.53";"2013-10-25 00:00:00"
"AKO Capital LLP";"TomTom N.V.";"NL0000387058";"2.61";"2013-10-24 00:00:00"
"AKO Capital LLP";"TomTom N.V.";"NL0000387058";"2.75";"2013-10-23 00:00:00"
"BlackRock Advisors (UK) Limited";"Heijmans N.V.";"NL0009269109";"0.59";"2013-10-23 00:00:00"
"AKO Capital LLP";"Fugro N.V.";"NL0000352565";"2.32";"2013-10-22 00:00:00"
"Marble Arch Investments, LP";"TomTom N.V.";"NL0000387058";"1.27";"2013-10-22 00:00:00"
"Adage Capital Management L.P.";"Aperam S.A.";"LU0569974404";"2.56";"2013-10-21 00:00:00"
"AKO Capital LLP";"TomTom N.V.";"NL0000387058";"2.88";"2013-10-21 00:00:00"
"Marshall Wace LLP";"Royal Imtech N.V.";"NL0006055329";"2.32";"2013-10-21 00:00:00"
"AKO Capital LLP";"TomTom N.V.";"NL0000387058";"2.94";"2013-10-18 00:00:00"
"Marble Arch Investments, LP";"TomTom N.V.";"NL0000387058";"1.35";"2013-10-18 00:00:00"
"Marshall Wace LLP";"Koninklijke BAM Groep N.V.";"NL0000337319";"0.59";"2013-10-18 00:00:00"
"Marshall Wace LLP";"Royal Imtech N.V.";"NL0006055329";"2.19";"2013-10-18 00:00:00"
"AQR Capital Management, LLC";"Fugro N.V.";"NL0000352565";"1.31";"2013-10-17 00:00:00"
"AQR Capital Management, LLC";"PostNL N.V.";"NL0009739416";"0.59";"2013-10-17 00:00:00"
"AQR Capital Management, LLC";"Royal Imtech N.V.";"NL0006055329";"0.89";"2013-10-17 00:00:00"
"Arrowstreet Capital, Limited Partnership";"Fugro N.V.";"NL0000352565";"0.49";"2013-10-17 00:00:00"
"Marshall Wace LLP";"Koninklijke BAM Groep N.V.";"NL0000337319";"0.60";"2013-10-17 00:00:00"
"Adage Capital Management L.P.";"Aperam S.A.";"LU0569974404";"2.36";"2013-10-16 00:00:00"
"BlackRock Advisors (UK) Limited";"Heijmans N.V.";"NL0009269109";"0.61";"2013-10-16 00:00:00"
"Marshall Wace LLP";"Fugro N.V.";"NL0000352565";"0.83";"2013-10-16 00:00:00"
"Marshall Wace LLP";"Royal Imtech N.V.";"NL0006055329";"2.20";"2013-10-16 00:00:00"
