"Positie houder";"Naam van de emittent";"ISIN";"Netto Shortpositie";"Positiedatum"
"AQR Capital Management, LLC";"Altice Europe N.V.";"NL0011333752";"1.12";"2019-03-19 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"1.98";"2019-03-19 00:00:00"
"Marshall Wace LLP";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"1.00";"2019-03-19 00:00:00"
"Merian Global Investors (UK) Limited";"AMG Advanced Metallurgical Group N.V.";"NL0000888691";"0.62";"2019-03-15 00:00:00"
"Systematica Investments Limited";"Fugro N.V.";"NL0000352565";"1.10";"2019-03-14 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.07";"2019-03-13 00:00:00"
"Merian Global Investors (UK) Limited";"AMG Advanced Metallurgical Group N.V.";"NL0000888691";"0.54";"2019-03-13 00:00:00"
"Marshall Wace LLP";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"0.90";"2019-03-12 00:00:00"
"Toscafund Asset Management LLP";"Wereldhave N.V.";"NL0000289213";"0.71";"2019-03-11 00:00:00"
"AQR Capital Management, LLC";"Altice Europe N.V.";"NL0011333752";"1.07";"2019-03-08 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"1.20";"2019-03-07 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.18";"2019-03-07 00:00:00"
"Marshall Wace LLP";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"0.84";"2019-03-07 00:00:00"
"Systematica Investments Limited";"Fugro N.V.";"NL0000352565";"1.06";"2019-03-05 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Vopak N.V.";"NL0009432491";"1.19";"2019-03-04 00:00:00"
"Great Point Partners, LLC";"Pharming Group N.V.";"NL0010391025";"1.31";"2019-03-04 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"1.19";"2019-03-01 00:00:00"
"AQR Capital Management, LLC";"OCI N.V.";"NL0010558797";"0.79";"2019-03-01 00:00:00"
"Great Point Partners, LLC";"Pharming Group N.V.";"NL0010391025";"1.02";"2019-03-01 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.29";"2019-02-28 00:00:00"
"Great Point Partners, LLC";"Pharming Group N.V.";"NL0010391025";"0.98";"2019-02-28 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"1.20";"2019-02-27 00:00:00"
"AQR Capital Management, LLC";"Altice Europe N.V.";"NL0011333752";"1.10";"2019-02-26 00:00:00"
"AQR Capital Management, LLC";"Altice Europe N.V.";"NL0011333752";"1.08";"2019-02-25 00:00:00"
"Systematica Investments Limited";"Fugro N.V.";"NL0000352565";"1.17";"2019-02-25 00:00:00"
"AQR Capital Management, LLC";"Altice Europe N.V.";"NL0011333752";"1.10";"2019-02-22 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.37";"2019-02-22 00:00:00"
"AQR Capital Management, LLC";"OCI N.V.";"NL0010558797";"0.80";"2019-02-21 00:00:00"
"Great Point Partners, LLC";"Pharming Group N.V.";"NL0010391025";"0.80";"2019-02-21 00:00:00"
