"Positie houder";"Naam van de emittent";"ISIN";"Netto Shortpositie";"Positiedatum"
"Marshall Wace LLP";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"1.30";"2018-10-18 00:00:00"
"Toscafund Asset Management LLP";"Wereldhave N.V.";"NL0000289213";"0.74";"2018-10-18 00:00:00"
"Connor, Clark & Lunn Investment Management Ltd.";"Wereldhave N.V.";"NL0000289213";"0.69";"2018-10-17 00:00:00"
"Systematica Investments Limited";"Fugro N.V.";"NL0000352565";"1.33";"2018-10-17 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"2.55";"2018-10-15 00:00:00"
"Marshall Wace LLP";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"1.28";"2018-10-12 00:00:00"
"Systematica Investments Limited";"Fugro N.V.";"NL0000352565";"1.20";"2018-10-12 00:00:00"
"Connor, Clark & Lunn Investment Management Ltd.";"Wereldhave N.V.";"NL0000289213";"0.70";"2018-10-11 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"0.78";"2018-10-11 00:00:00"
"Marshall Wace LLP";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"1.30";"2018-10-11 00:00:00"
"Scopia Capital Management LP";"BE Semiconductor Industries N.V.";"NL0012866412";"4.93";"2018-10-11 00:00:00"
"Systematica Investments Limited";"Fugro N.V.";"NL0000352565";"1.19";"2018-10-11 00:00:00"
"Scopia Capital Management LP";"BE Semiconductor Industries N.V.";"NL0012866412";"4.78";"2018-10-10 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.39";"2018-10-09 00:00:00"
"Scopia Capital Management LP";"BE Semiconductor Industries N.V.";"NL0012866412";"4.61";"2018-10-09 00:00:00"
"Scopia Capital Management LP";"BE Semiconductor Industries N.V.";"NL0012866412";"4.41";"2018-10-05 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.40";"2018-10-04 00:00:00"
"Scopia Capital Management LP";"BE Semiconductor Industries N.V.";"NL0012866412";"4.27";"2018-10-04 00:00:00"
"AQR Capital Management, LLC";"Altice Europe N.V.";"NL0011333752";"1.70";"2018-10-03 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Vopak N.V.";"NL0009432491";"1.79";"2018-10-03 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.39";"2018-10-03 00:00:00"
"Scopia Capital Management LP";"BE Semiconductor Industries N.V.";"NL0012866412";"4.32";"2018-10-03 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"2.68";"2018-10-02 00:00:00"
"Scopia Capital Management LP";"BE Semiconductor Industries N.V.";"NL0012866412";"4.51";"2018-10-02 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"1.08";"2018-10-01 00:00:00"
"AQR Capital Management, LLC";"Altice Europe N.V.";"NL0011333752";"1.90";"2018-09-28 00:00:00"
"Marshall Wace LLP";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"1.23";"2018-09-25 00:00:00"
"AQR Capital Management, LLC";"Altice Europe N.V.";"NL0011333752";"1.80";"2018-09-24 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"1.18";"2018-09-24 00:00:00"
"Arrowstreet Capital, Limited Partnership";"Aperam S.A.";"LU0569974404";"1.29";"2018-09-24 00:00:00"
"Great Point Partners, LLC";"Pharming Group N.V.";"NL0010391025";"0.56";"2018-09-19 00:00:00"
"Great Point Partners, LLC";"Pharming Group N.V.";"NL0010391025";"0.77";"2018-09-18 00:00:00"
"Marshall Wace LLP";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"1.10";"2018-09-18 00:00:00"
"Arrowstreet Capital, Limited Partnership";"Aperam S.A.";"LU0569974404";"1.30";"2018-09-14 00:00:00"
"Marshall Wace Asia Limited";"ARCADIS N.V.";"NL0006237562";"1.11";"2018-09-14 00:00:00"
"AQR Capital Management, LLC";"Altice Europe N.V.";"NL0011333752";"1.72";"2018-09-13 00:00:00"
"AQR Capital Management, LLC";"OCI N.V.";"NL0010558797";"1.09";"2018-09-13 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"1.29";"2018-09-10 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"2.70";"2018-09-07 00:00:00"
"Systematica Investments Limited";"Fugro N.V.";"NL0000352565";"1.21";"2018-09-06 00:00:00"
"Arrowstreet Capital, Limited Partnership";"Aperam S.A.";"LU0569974404";"1.20";"2018-09-05 00:00:00"
"Marshall Wace Asia Limited";"ARCADIS N.V.";"NL0006237562";"1.05";"2018-09-04 00:00:00"
"Pelham Capital Ltd.";"ARCADIS N.V.";"NL0006237562";"1.31";"2018-08-31 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Vopak N.V.";"NL0009432491";"1.89";"2018-08-30 00:00:00"
"Marshall Wace LLP";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"1.00";"2018-08-30 00:00:00"
"AQR Capital Management, LLC";"Altice Europe N.V.";"NL0011333752";"1.69";"2018-08-28 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"1.39";"2018-08-28 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"2.69";"2018-08-28 00:00:00"
"Pelham Capital Ltd.";"ARCADIS N.V.";"NL0006237562";"1.20";"2018-08-28 00:00:00"
"AQR Capital Management, LLC";"Altice Europe N.V.";"NL0011333752";"1.70";"2018-08-27 00:00:00"
"Arrowstreet Capital, Limited Partnership";"Aperam S.A.";"LU0569974404";"1.10";"2018-08-27 00:00:00"
"Pelham Capital Ltd.";"ARCADIS N.V.";"NL0006237562";"1.14";"2018-08-27 00:00:00"
"AQR Capital Management, LLC";"Altice Europe N.V.";"NL0011333752";"1.69";"2018-08-24 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.49";"2018-08-23 00:00:00"
"Davidson Kempner European Partners, LLP";"BE Semiconductor Industries N.V.";"NL0012866412";"0.81";"2018-08-23 00:00:00"
"AQR Capital Management, LLC";"Altice Europe N.V.";"NL0011333752";"1.70";"2018-08-22 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"1.49";"2018-08-21 00:00:00"
"Pelham Capital Ltd.";"ARCADIS N.V.";"NL0006237562";"1.00";"2018-08-21 00:00:00"
"Arrowstreet Capital, Limited Partnership";"Aperam S.A.";"LU0569974404";"1.00";"2018-08-20 00:00:00"
"Pelham Capital Ltd.";"ARCADIS N.V.";"NL0006237562";"0.94";"2018-08-20 00:00:00"
"Scopia Capital Management LP";"BE Semiconductor Industries N.V.";"NL0012866412";"4.66";"2018-08-20 00:00:00"
"AQR Capital Management, LLC";"Altice Europe N.V.";"NL0011333752";"1.62";"2018-08-17 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.51";"2018-08-17 00:00:00"
"Pelham Capital Ltd.";"ARCADIS N.V.";"NL0006237562";"0.62";"2018-08-17 00:00:00"
"Scopia Capital Management LP";"BE Semiconductor Industries N.V.";"NL0012866412";"4.56";"2018-08-17 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"2.79";"2018-08-16 00:00:00"
"Pelham Capital Ltd.";"ARCADIS N.V.";"NL0006237562";"0.55";"2018-08-16 00:00:00"
"Scopia Capital Management LP";"BE Semiconductor Industries N.V.";"NL0012866412";"4.44";"2018-08-16 00:00:00"
"Arrowstreet Capital, Limited Partnership";"Aperam S.A.";"LU0569974404";"0.93";"2018-08-15 00:00:00"
"Scopia Capital Management LP";"BE Semiconductor Industries N.V.";"NL0012866412";"4.33";"2018-08-15 00:00:00"
"Marshall Wace LLP";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"0.99";"2018-08-14 00:00:00"
"Scopia Capital Management LP";"BE Semiconductor Industries N.V.";"NL0012866412";"4.22";"2018-08-14 00:00:00"
"AQR Capital Management, LLC";"Altice Europe N.V.";"NL0011333752";"1.51";"2018-08-13 00:00:00"
"AQR Capital Management, LLC";"Altice Europe N.V.";"NL0011333752";"1.41";"2018-08-09 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"1.59";"2018-08-09 00:00:00"
"Systematica Investments Limited";"Fugro N.V.";"NL0000352565";"1.10";"2018-08-09 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Vopak N.V.";"NL0009432491";"1.99";"2018-08-08 00:00:00"
"Marshall Wace LLP";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"1.09";"2018-08-06 00:00:00"
"Sculptor Capital Management Europe Limited";"Fugro N.V.";"NL0000352565";"1.26";"2018-08-06 00:00:00"
"Marshall Wace LLP";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"1.16";"2018-08-03 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.42";"2018-08-02 00:00:00"
"Arrowstreet Capital, Limited Partnership";"Aperam S.A.";"LU0569974404";"0.80";"2018-08-02 00:00:00"
"Marshall Wace Asia Limited";"ARCADIS N.V.";"NL0006237562";"0.90";"2018-08-01 00:00:00"
"Sculptor Capital Management Europe Limited";"Fugro N.V.";"NL0000352565";"1.30";"2018-08-01 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"1.68";"2018-07-30 00:00:00"
"Connor, Clark & Lunn Investment Management Ltd.";"Wereldhave N.V.";"NL0000289213";"0.60";"2018-07-30 00:00:00"
"Marshall Wace LLP";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"1.29";"2018-07-30 00:00:00"
"Scopia Capital Management LP";"BE Semiconductor Industries N.V.";"NL0012866412";"4.18";"2018-07-27 00:00:00"
"Great Point Partners, LLC";"Pharming Group N.V.";"NL0010391025";"0.82";"2018-07-26 00:00:00"
"Lansdowne Partners (UK) LLP";"ARCADIS N.V.";"NL0006237562";"2.52";"2018-07-26 00:00:00"
"Scopia Capital Management LP";"BE Semiconductor Industries N.V.";"NL0012866412";"4.02";"2018-07-26 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.30";"2018-07-25 00:00:00"
"Marshall Wace LLP";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"1.35";"2018-07-25 00:00:00"
"Scopia Capital Management LP";"BE Semiconductor Industries N.V.";"NL0012866412";"3.68";"2018-07-25 00:00:00"
"Systematica Investments Limited";"Fugro N.V.";"NL0000352565";"1.01";"2018-07-25 00:00:00"
"Great Point Partners, LLC";"Pharming Group N.V.";"NL0010391025";"0.62";"2018-07-24 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"2.80";"2018-07-24 00:00:00"
"Arrowstreet Capital, Limited Partnership";"Aperam S.A.";"LU0569974404";"0.70";"2018-07-23 00:00:00"
"Great Point Partners, LLC";"Pharming Group N.V.";"NL0010391025";"0.54";"2018-07-23 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"2.71";"2018-07-20 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"1.79";"2018-07-19 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"2.62";"2018-07-19 00:00:00"
"Scopia Capital Management LP";"BE Semiconductor Industries N.V.";"NL0012866412";"3.32";"2018-07-19 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.21";"2018-07-18 00:00:00"
"Scopia Capital Management LP";"BE Semiconductor Industries N.V.";"NL0012866412";"3.21";"2018-07-18 00:00:00"
"Marshall Wace Asia Limited";"ARCADIS N.V.";"NL0006237562";"0.80";"2018-07-17 00:00:00"
"Marshall Wace LLP";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"1.49";"2018-07-17 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"1.87";"2018-07-12 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Vopak N.V.";"NL0009432491";"2.09";"2018-07-12 00:00:00"
"Lansdowne Partners (UK) LLP";"ARCADIS N.V.";"NL0006237562";"2.43";"2018-07-12 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"2.52";"2018-07-12 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.18";"2018-07-11 00:00:00"
"Arrowstreet Capital, Limited Partnership";"Aperam S.A.";"LU0569974404";"0.60";"2018-07-11 00:00:00"
"Marshall Wace LLP";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"1.57";"2018-07-11 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.22";"2018-07-10 00:00:00"
"Marshall Wace Asia Limited";"ARCADIS N.V.";"NL0006237562";"0.75";"2018-07-10 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"2.41";"2018-07-10 00:00:00"
"AQR Capital Management, LLC";"Altice Europe N.V.";"NL0011333752";"1.39";"2018-07-09 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"2.10";"2018-07-09 00:00:00"
"Systematica Investments Limited";"Fugro N.V.";"NL0000352565";"0.99";"2018-07-09 00:00:00"
"AQR Capital Management, LLC";"Altice Europe N.V.";"NL0011333752";"1.43";"2018-07-06 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.19";"2018-07-06 00:00:00"
"Sculptor Capital Management Europe Limited";"Fugro N.V.";"NL0000352565";"1.26";"2018-07-06 00:00:00"
"Systematica Investments Limited";"Fugro N.V.";"NL0000352565";"1.00";"2018-07-06 00:00:00"
"Lansdowne Partners (UK) LLP";"ARCADIS N.V.";"NL0006237562";"2.33";"2018-07-05 00:00:00"
"Lansdowne Partners (UK) LLP";"ARCADIS N.V.";"NL0006237562";"2.29";"2018-07-04 00:00:00"
"Marshall Wace LLP";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"1.66";"2018-07-04 00:00:00"
"Connor, Clark & Lunn Investment Management Ltd.";"Wereldhave N.V.";"NL0000289213";"0.50";"2018-07-03 00:00:00"
"Davidson Kempner European Partners, LLP";"BE Semiconductor Industries N.V.";"NL0012866412";"0.74";"2018-07-03 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"2.01";"2018-07-03 00:00:00"
"Marshall Wace Asia Limited";"ARCADIS N.V.";"NL0006237562";"0.50";"2018-06-29 00:00:00"
"AQR Capital Management, LLC";"Altice Europe N.V.";"NL0011333752";"1.66";"2018-06-28 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"1.98";"2018-06-28 00:00:00"
"Arrowstreet Capital, Limited Partnership";"Aperam S.A.";"LU0569974404";"0.50";"2018-06-28 00:00:00"
"Scopia Capital Management LP";"BE Semiconductor Industries N.V.";"NL0012866412";"3.09";"2018-06-28 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"1.91";"2018-06-27 00:00:00"
"Davidson Kempner European Partners, LLP";"BE Semiconductor Industries N.V.";"NL0012866412";"0.89";"2018-06-25 00:00:00"
"Systematica Investments Limited";"Fugro N.V.";"NL0000352565";"0.90";"2018-06-25 00:00:00"
"Scopia Capital Management LP";"BE Semiconductor Industries N.V.";"NL0012866412";"3.48";"2018-06-22 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"1.82";"2018-06-21 00:00:00"
"Marshall Wace LLP";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"1.72";"2018-06-20 00:00:00"
"Lansdowne Partners (UK) LLP";"ARCADIS N.V.";"NL0006237562";"2.12";"2018-06-19 00:00:00"
"AQR Capital Management, LLC";"Altice Europe N.V.";"NL0011333752";"1.78";"2018-06-18 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"2.09";"2018-06-18 00:00:00"
"Lansdowne Partners (UK) LLP";"ARCADIS N.V.";"NL0006237562";"2.01";"2018-06-18 00:00:00"
"Lansdowne Partners (UK) LLP";"ARCADIS N.V.";"NL0006237562";"1.92";"2018-06-15 00:00:00"
"Marshall Wace LLP";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"1.61";"2018-06-15 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"2.16";"2018-06-14 00:00:00"
"Scopia Capital Management LP";"BE Semiconductor Industries N.V.";"NL0012866412";"3.35";"2018-06-14 00:00:00"
"Scopia Capital Management LP";"BE Semiconductor Industries N.V.";"NL0012866412";"3.10";"2018-06-13 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"2.25";"2018-06-12 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Vopak N.V.";"NL0009432491";"2.19";"2018-06-12 00:00:00"
"Scopia Capital Management LP";"BE Semiconductor Industries N.V.";"NL0012866412";"2.95";"2018-06-12 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"1.70";"2018-06-11 00:00:00"
"Marshall Wace LLP";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"1.59";"2018-06-11 00:00:00"
"Scopia Capital Management LP";"BE Semiconductor Industries N.V.";"NL0012866412";"2.88";"2018-06-11 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.21";"2018-06-08 00:00:00"
"Systematica Investments Limited";"Fugro N.V.";"NL0000352565";"0.80";"2018-06-07 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"0.80";"2018-06-06 00:00:00"
"AQR Capital Management, LLC";"Altice Europe N.V.";"NL0011333752";"1.89";"2018-06-05 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"2.39";"2018-06-01 00:00:00"
"Melqart Asset Management (UK) Ltd.";"Unibail-Rodamco";"FR0000124711";"0.58";"2018-06-01 00:00:00"
"Scopia Capital Management LP";"BE Semiconductor Industries N.V.";"NL0012866412";"2.72";"2018-06-01 00:00:00"
"Marshall Wace LLP";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"1.67";"2018-05-31 00:00:00"
"Melqart Asset Management (UK) Ltd.";"Unibail-Rodamco";"FR0000124711";"0.64";"2018-05-31 00:00:00"
"Davidson Kempner European Partners, LLP";"BE Semiconductor Industries N.V.";"NL0012866412";"0.99";"2018-05-30 00:00:00"
"Marshall Wace LLP";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"1.70";"2018-05-30 00:00:00"
"Melqart Asset Management (UK) Ltd.";"Unibail-Rodamco";"FR0000124711";"0.74";"2018-05-30 00:00:00"
"Melqart Asset Management (UK) Ltd.";"Unibail-Rodamco";"FR0000124711";"0.50";"2018-05-29 00:00:00"
"Systematica Investments Limited";"Fugro N.V.";"NL0000352565";"0.71";"2018-05-29 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"0.79";"2018-05-28 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"1.61";"2018-05-28 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"1.59";"2018-05-25 00:00:00"
"Marshall Wace LLP";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"1.61";"2018-05-25 00:00:00"
"Systematica Investments Limited";"Fugro N.V.";"NL0000352565";"0.69";"2018-05-25 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.10";"2018-05-24 00:00:00"
"AQR Capital Management, LLC";"Altice Europe N.V.";"NL0011333752";"1.95";"2018-05-23 00:00:00"
"Davidson Kempner European Partners, LLP";"BE Semiconductor Industries N.V.";"NL0012866412";"1.00";"2018-05-23 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"1.61";"2018-05-23 00:00:00"
"AQR Capital Management, LLC";"Altice Europe N.V.";"NL0011333752";"1.84";"2018-05-22 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.09";"2018-05-21 00:00:00"
"Lansdowne Partners (UK) LLP";"ARCADIS N.V.";"NL0006237562";"1.86";"2018-05-21 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"1.58";"2018-05-21 00:00:00"
"Marshall Wace LLP";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"1.50";"2018-05-21 00:00:00"
"AQR Capital Management, LLC";"Altice Europe N.V.";"NL0011333752";"1.97";"2018-05-18 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.10";"2018-05-18 00:00:00"
"Systematica Investments Limited";"Fugro N.V.";"NL0000352565";"0.79";"2018-05-18 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Vopak N.V.";"NL0009432491";"2.29";"2018-05-17 00:00:00"
"Lansdowne Partners (UK) LLP";"ARCADIS N.V.";"NL0006237562";"1.70";"2018-05-16 00:00:00"
"Marshall Wace LLP";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"1.41";"2018-05-15 00:00:00"
"Marshall Wace LLP";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"1.32";"2018-05-11 00:00:00"
"AQR Capital Management, LLC";"OCI N.V.";"NL0010558797";"1.19";"2018-05-10 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"1.68";"2018-05-10 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.09";"2018-05-09 00:00:00"
"Marshall Wace LLP";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"1.20";"2018-05-09 00:00:00"
"Systematica Investments Limited";"Fugro N.V.";"NL0000352565";"0.89";"2018-05-08 00:00:00"
"AQR Capital Management, LLC";"Altice Europe N.V.";"NL0011333752";"1.68";"2018-05-07 00:00:00"
"Marshall Wace LLP";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"1.00";"2018-05-07 00:00:00"
"Davidson Kempner European Partners, LLP";"BE Semiconductor Industries N.V.";"NL0012866412";"0.81";"2018-05-05 00:00:00"
"Scopia Capital Management LP";"BE Semiconductor Industries N.V.";"NL0012866412";"2.82";"2018-05-05 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"1.73";"2018-05-04 00:00:00"
"Marshall Wace LLP";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"0.91";"2018-05-03 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.17";"2018-04-27 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"1.80";"2018-04-26 00:00:00"
"Marshall Wace LLP";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"0.80";"2018-04-25 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Vopak N.V.";"NL0009432491";"2.39";"2018-04-24 00:00:00"
"Marshall Wace LLP";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"0.72";"2018-04-24 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"2.40";"2018-04-23 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Vopak N.V.";"NL0009432491";"2.40";"2018-04-23 00:00:00"
"Systematica Investments Limited";"Fugro N.V.";"NL0000352565";"0.90";"2018-04-23 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Vopak N.V.";"NL0009432491";"2.39";"2018-04-20 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"1.70";"2018-04-20 00:00:00"
"Marshall Wace LLP";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"0.69";"2018-04-20 00:00:00"
"AQR Capital Management, LLC";"Altice Europe N.V.";"NL0011333752";"1.76";"2018-04-19 00:00:00"
"Marshall Wace LLP";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"0.71";"2018-04-19 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"2.34";"2018-04-18 00:00:00"
"Marshall Wace LLP";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"0.63";"2018-04-18 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.22";"2018-04-17 00:00:00"
"Systematica Investments Limited";"Fugro N.V.";"NL0000352565";"0.82";"2018-04-17 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"2.23";"2018-04-16 00:00:00"
"Marshall Wace LLP";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"0.52";"2018-04-13 00:00:00"
"Systematica Investments Limited";"Fugro N.V.";"NL0000352565";"0.71";"2018-04-12 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"2.11";"2018-04-10 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.12";"2018-04-10 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"1.60";"2018-04-10 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"2.05";"2018-04-09 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"0.84";"2018-04-09 00:00:00"
"Lansdowne Partners (UK) LLP";"ARCADIS N.V.";"NL0006237562";"1.62";"2018-04-09 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"1.96";"2018-04-06 00:00:00"
"AQR Capital Management, LLC";"Altice Europe N.V.";"NL0011333752";"1.88";"2018-04-05 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"1.83";"2018-04-04 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"1.51";"2018-04-04 00:00:00"
"Lansdowne Partners (UK) LLP";"ARCADIS N.V.";"NL0006237562";"1.50";"2018-04-03 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"1.71";"2018-03-29 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"1.46";"2018-03-29 00:00:00"
"Systematica Investments Limited";"Fugro N.V.";"NL0000352565";"0.60";"2018-03-28 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"1.60";"2018-03-27 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"1.53";"2018-03-27 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"1.56";"2018-03-26 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.01";"2018-03-26 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"1.47";"2018-03-26 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"1.32";"2018-03-23 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"1.40";"2018-03-21 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Vopak N.V.";"NL0009432491";"2.49";"2018-03-21 00:00:00"
