Marshall Wace LLP;Proximus;BE0003810273;0,61%;04/05/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,01%;05/05/2013
Marshall Wace LLP;Proximus;BE0003810273;0,61%;05/05/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,01%;06/05/2013
Marshall Wace LLP;Proximus;BE0003810273;0,61%;06/05/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,01%;07/05/2013
Marshall Wace LLP;Proximus;BE0003810273;0,61%;07/05/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,01%;08/05/2013
Marshall Wace LLP;Proximus;BE0003810273;0,61%;08/05/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,01%;09/05/2013
Marshall Wace LLP;Proximus;BE0003810273;0,61%;09/05/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,01%;10/05/2013
Marshall Wace LLP;Proximus;BE0003810273;0,61%;10/05/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,01%;11/05/2013
Marshall Wace LLP;Proximus;BE0003810273;0,61%;11/05/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,01%;12/05/2013
Marshall Wace LLP;Proximus;BE0003810273;0,61%;12/05/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,01%;13/05/2013
Marshall Wace LLP;Proximus;BE0003810273;0,61%;13/05/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,01%;14/05/2013
Marshall Wace LLP;Proximus;BE0003810273;0,61%;14/05/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,01%;15/05/2013
Marshall Wace LLP;Proximus;BE0003810273;0,61%;15/05/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,01%;16/05/2013
Marshall Wace LLP;Proximus;BE0003810273;0,61%;16/05/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,01%;17/05/2013
Marshall Wace LLP;Proximus;BE0003810273;0,61%;17/05/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,01%;18/05/2013
Marshall Wace LLP;Proximus;BE0003810273;0,61%;18/05/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,01%;19/05/2013
Marshall Wace LLP;Proximus;BE0003810273;0,61%;19/05/2013
Marshall Wace LLP;Proximus;BE0003810273;0,61%;20/05/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;20/05/2013
Marshall Wace LLP;Proximus;BE0003810273;0,61%;21/05/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;21/05/2013
Marshall Wace LLP;Proximus;BE0003810273;0,61%;22/05/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;22/05/2013
Marshall Wace LLP;Proximus;BE0003810273;0,61%;23/05/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;23/05/2013
Marshall Wace LLP;Proximus;BE0003810273;0,61%;24/05/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;24/05/2013
Marshall Wace LLP;Proximus;BE0003810273;0,61%;25/05/2013
